Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1477791365,2016-10-30T01:36:05Z,AAL1067,"37.369587,-121.931",0,15,47
1477791353,2016-10-30T01:35:53Z,AAL1067,"37.369411,-121.931252",0,19,39
1477791341,2016-10-30T01:35:41Z,AAL1067,"37.369102,-121.931557",0,25,22
1477791335,2016-10-30T01:35:35Z,AAL1067,"37.368786,-121.931625",0,25,354
1477791329,2016-10-30T01:35:29Z,AAL1067,"37.368553,-121.931526",0,25,320
1477791323,2016-10-30T01:35:23Z,AAL1067,"37.368355,-121.931313",0,26,317
1477791317,2016-10-30T01:35:17Z,AAL1067,"37.368061,-121.930992",0,31,320
1477791310,2016-10-30T01:35:10Z,AAL1067,"37.367794,-121.930702",0,31,317
1477791304,2016-10-30T01:35:04Z,AAL1067,"37.36747,-121.930344",0,29,320
1477791292,2016-10-30T01:34:52Z,AAL1067,"37.367065,-121.929893",0,32,320
1477791284,2016-10-30T01:34:44Z,AAL1067,"37.366619,-121.92942",0,32,317
1477791277,2016-10-30T01:34:37Z,AAL1067,"37.366344,-121.9291",0,32,320
1477791271,2016-10-30T01:34:31Z,AAL1067,"37.366074,-121.928825",0,32,317
1477791241,2016-10-30T01:34:01Z,AAL1067,"37.364628,-121.927231",0,30,320
1477791232,2016-10-30T01:33:52Z,AAL1067,"37.364227,-121.926796",0,29,317
1477791226,2016-10-30T01:33:46Z,AAL1067,"37.364025,-121.926567",0,30,317
1477791213,2016-10-30T01:33:33Z,AAL1067,"37.363506,-121.92601",0,31,317
1477791207,2016-10-30T01:33:27Z,AAL1067,"37.363209,-121.925682",0,30,317
1477791201,2016-10-30T01:33:21Z,AAL1067,"37.362907,-121.925362",0,29,317
1477791195,2016-10-30T01:33:15Z,AAL1067,"37.362637,-121.925056",0,30,317
1477791189,2016-10-30T01:33:09Z,AAL1067,"37.362442,-121.924835",0,29,317
1477791183,2016-10-30T01:33:03Z,AAL1067,"37.362213,-121.924591",0,27,317
1477791177,2016-10-30T01:32:57Z,AAL1067,"37.361984,-121.924339",0,25,317
1477791171,2016-10-30T01:32:51Z,AAL1067,"37.361801,-121.924133",0,25,317
1477791165,2016-10-30T01:32:45Z,AAL1067,"37.361511,-121.92382",0,27,320
1477791135,2016-10-30T01:32:15Z,AAL1067,"37.360405,-121.922615",0,27,317
1477791129,2016-10-30T01:32:09Z,AAL1067,"37.360184,-121.922356",0,25,320
1477791123,2016-10-30T01:32:03Z,AAL1067,"37.359951,-121.922104",0,29,317
1477791114,2016-10-30T01:31:54Z,AAL1067,"37.359512,-121.92202",0,30,30
1477791105,2016-10-30T01:31:45Z,AAL1067,"37.359127,-121.922478",0,28,47
1477791098,2016-10-30T01:31:38Z,AAL1067,"37.358929,-121.92276",0,31,50
1477791092,2016-10-30T01:31:32Z,AAL1067,"37.358677,-121.923111",0,15,47
1477791086,2016-10-30T01:31:26Z,AAL1067,"37.358414,-121.923523",0,34,53
1477791080,2016-10-30T01:31:20Z,AAL1067,"37.358242,-121.923958",0,16,75
1477791071,2016-10-30T01:31:11Z,AAL1067,"37.358265,-121.924789",0,17,109
1477791065,2016-10-30T01:31:05Z,AAL1067,"37.358509,-121.925285",0,19,132
1477791059,2016-10-30T01:30:59Z,AAL1067,"37.358917,-121.925751",0,22,137
1477791053,2016-10-30T01:30:53Z,AAL1067,"37.359512,-121.92643",0,37,140
1477791047,2016-10-30T01:30:47Z,AAL1067,"37.360497,-121.927513",0,63,137
1477791041,2016-10-30T01:30:41Z,AAL1067,"37.362122,-121.929291",0,94,137
1477791035,2016-10-30T01:30:35Z,AAL1067,"37.363953,-121.931313",0,125,140
1477791029,2016-10-30T01:30:29Z,AAL1067,"37.367294,-121.934929",0,141,138
1477791023,2016-10-30T01:30:23Z,AAL1067,"37.369621,-121.937492",25,145,138
1477791017,2016-10-30T01:30:17Z,AAL1067,"37.372742,-121.940895",100,143,139
1477791011,2016-10-30T01:30:11Z,AAL1067,"37.375992,-121.944443",200,145,138
1477791005,2016-10-30T01:30:05Z,AAL1067,"37.379074,-121.947823",275,145,139
